"","GCM","RCM","Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity","Simulator","GCM_labeled"
"117","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1995,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"118","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1996,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"119","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1997,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"120","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1998,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"121","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1999,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"122","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",2000,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"123","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",2001,"E Midlands",1,1,4.60747663551402,32.9077623563392,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"124","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",2002,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"125","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",2003,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"126","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",2004,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
